2024-04-22 22:21:54 Размерность обучающей выборки: (8000, 4)
2024-04-22 22:21:54 Размерность тестовой выборки: (2000, 4)
2024-04-22 22:21:55 Количество правил: -  3125
2024-04-22 22:26:56 
2024-04-22 22:26:56 Mean Squared Error (MSE): 0.061530798198548724
2024-04-22 22:26:56 start gradient descent
2024-04-23 08:13:45 Эпоха 241, ошибка: 0.07640662181309858, скорость обучения: 0.0018248003631400759
2024-04-23 08:16:15 Эпоха 242, ошибка: 0.07641179092160312, скорость обучения: 0.0016423203268260682
2024-04-23 08:18:41 Эпоха 243, ошибка: 0.07636836725676165, скорость обучения: 0.0016423203268260682
2024-04-23 08:21:07 Эпоха 244, ошибка: 0.07637391364704782, скорость обучения: 0.0016423203268260682
2024-04-23 08:23:42 Эпоха 245, ошибка: 0.07637923220884517, скорость обучения: 0.0016423203268260682
2024-04-23 08:26:09 Эпоха 246, ошибка: 0.07638433235345504, скорость обучения: 0.0016423203268260682
2024-04-23 08:28:35 Эпоха 247, ошибка: 0.07638922309918861, скорость обучения: 0.0016423203268260682
2024-04-23 08:31:04 Эпоха 248, ошибка: 0.07639391308806277, скорость обучения: 0.0014780882941434613
2024-04-23 08:33:27 Эпоха 249, ошибка: 0.07635491256159367, скорость обучения: 0.0014780882941434613
2024-04-23 08:35:50 Эпоха 250, ошибка: 0.07635985662129509, скорость обучения: 0.0014780882941434613
2024-04-23 08:38:21 Эпоха 251, ошибка: 0.07636461758831121, скорость обучения: 0.0014780882941434613
2024-04-23 08:40:46 Эпоха 252, ошибка: 0.0763692022814878, скорость обучения: 0.0014780882941434613
