–азмерность обучающей выборки: (8000, 4)
–азмерность тестовой выборки: (2000, 4)
 оличество правил: -  243
Mean Squared Error (MSE): 0.12560472168116257
start gradient descent
Ёпоха 162, ошибка: 0.005317308713863036, скорость обучени€: 0.03138105960900001
Ёпоха 163, ошибка: 0.005314264659353891, скорость обучени€: 0.03138105960900001
Ёпоха 164, ошибка: 0.005312136775585647, скорость обучени€: 0.03138105960900001
Ёпоха 165, ошибка: 0.0053106651525546235, скорость обучени€: 0.03138105960900001
Ёпоха 166, ошибка: 0.00530966357737399, скорость обучени€: 0.03138105960900001
Ёпоха 167, ошибка: 0.00530899858118798, скорость обучени€: 0.03138105960900001
Ёпоха 168, ошибка: 0.0053085744704677446, скорость обучени€: 0.03138105960900001
Ёпоха 169, ошибка: 0.005308322620504741, скорость обучени€: 0.03138105960900001
Ёпоха 170, ошибка: 0.0053081938107412555, скорость обучени€: 0.03138105960900001
Ёпоха 171, ошибка: 0.005308152734229615, скорость обучени€: 0.03138105960900001
Ёпоха 172, ошибка: 0.005308174062695485, скорость обучени€: 0.03138105960900001
Ёпоха 173, ошибка: 0.0053082396255305225, скорость обучени€: 0.03138105960900001
Ёпоха 174, ошибка: 0.005308336386879284, скорость обучени€: 0.03138105960900001
Ёпоха 175, ошибка: 0.005308454994778052, скорость обучени€: 0.03138105960900001
Ёпоха 176, ошибка: 0.005308588740438134, скорость обучени€: 0.028242953648100012
Ёпоха 177, ошибка: 0.005303888843119257, скорость обучени€: 0.028242953648100012
Ёпоха 178, ошибка: 0.005298794313840833, скорость обучени€: 0.028242953648100012
Ёпоха 179, ошибка: 0.0052950500129624566, скорость обучени€: 0.028242953648100012
Ёпоха 180, ошибка: 0.005292307149622863, скорость обучени€: 0.028242953648100012
Ёпоха 181, ошибка: 0.0052903072097314095, скорость обучени€: 0.028242953648100012
Ёпоха 182, ошибка: 0.0052888584677270555, скорость обучени€: 0.028242953648100012
Ёпоха 183, ошибка: 0.0052878186639056775, скорость обучени€: 0.028242953648100012
Ёпоха 184, ошибка: 0.005287082204870084, скорость обучени€: 0.028242953648100012
Ёпоха 185, ошибка: 0.005286570692703205, скорость обучени€: 0.028242953648100012
Ёпоха 186, ошибка: 0.005286225909743663, скорость обучени€: 0.028242953648100012
Ёпоха 187, ошибка: 0.005286004618143695, скорость обучени€: 0.028242953648100012
Ёпоха 188, ошибка: 0.005285874702446961, скорость обучени€: 0.028242953648100012
Ёпоха 189, ошибка: 0.005285781905291135, скорость обучени€: 0.028242953648100012
Ёпоха 190, ошибка: 0.005285728996908046, скорость обучени€: 0.028242953648100012
Ёпоха 191, ошибка: 0.005285738364371299, скорость обучени€: 0.028242953648100012
Ёпоха 192, ошибка: 0.0052857932601072495, скорость обучени€: 0.028242953648100012
Ёпоха 193, ошибка: 0.005285881283984268, скорость обучени€: 0.028242953648100012
Ёпоха 194, ошибка: 0.005285993255960667, скорость обучени€: 0.028242953648100012
Ёпоха 195, ошибка: 0.005286122381200607, скорость обучени€: 0.025418658283290013
Ёпоха 196, ошибка: 0.005282709269468937, скорость обучени€: 0.025418658283290013
Ёпоха 197, ошибка: 0.005278496446718207, скорость обучени€: 0.025418658283290013
Ёпоха 198, ошибка: 0.005275314072746824, скорость обучени€: 0.025418658283290013
Ёпоха 199, ошибка: 0.005272918052887252, скорость обучени€: 0.025418658283290013
Ёпоха 200, ошибка: 0.005271122195484078, скорость обучени€: 0.025418658283290013
Ёпоха 201, ошибка: 0.005269784405027463, скорость обучени€: 0.025418658283290013
Ёпоха 202, ошибка: 0.005268796197288143, скорость обучени€: 0.025418658283290013
Ёпоха 203, ошибка: 0.005268074724951428, скорость обучени€: 0.025418658283290013
Ёпоха 204, ошибка: 0.005267556705445405, скорость обучени€: 0.025418658283290013
Ёпоха 205, ошибка: 0.0052671937929910425, скорость обучени€: 0.025418658283290013
Ёпоха 206, ошибка: 0.005266949048890775, скорость обучени€: 0.025418658283290013
Ёпоха 207, ошибка: 0.005266794247985666, скорость обучени€: 0.025418658283290013
Ёпоха 208, ошибка: 0.005266707822339091, скорость обучени€: 0.025418658283290013
Ёпоха 209, ошибка: 0.0052666732908983604, скорость обучени€: 0.025418658283290013
Ёпоха 210, ошибка: 0.005266678059987569, скорость обучени€: 0.025418658283290013
Ёпоха 211, ошибка: 0.005266712506883231, скорость обучени€: 0.025418658283290013
Ёпоха 212, ошибка: 0.0052667692795740646, скорость обучени€: 0.025418658283290013
Ёпоха 213, ошибка: 0.005266842761643222, скорость обучени€: 0.025418658283290013
Ёпоха 214, ошибка: 0.005266928663298731, скорость обучени€: 0.022876792454961013
Ёпоха 215, ошибка: 0.005264460115927848, скорость обучени€: 0.022876792454961013
Ёпоха 216, ошибка: 0.005260963151551556, скорость обучени€: 0.022876792454961013
Ёпоха 217, ошибка: 0.005258238830870511, скорость обучени€: 0.022876792454961013
Ёпоха 218, ошибка: 0.0052561210323793335, скорость обучени€: 0.022876792454961013
Ёпоха 219, ошибка: 0.005254479407569404, скорость обучени€: 0.022876792454961013
Ёпоха 220, ошибка: 0.0052532116373218765, скорость обучени€: 0.022876792454961013
Ёпоха 221, ошибка: 0.005252237379924873, скорость обучени€: 0.022876792454961013
Ёпоха 222, ошибка: 0.005251493535361994, скорость обучени€: 0.022876792454961013
Ёпоха 223, ошибка: 0.005250930535978453, скорость обучени€: 0.022876792454961013
Ёпоха 224, ошибка: 0.0052505094388325055, скорость обучени€: 0.022876792454961013
Ёпоха 225, ошибка: 0.0052501996450714464, скорость обучени€: 0.022876792454961013
Ёпоха 226, ошибка: 0.0052499771102573, скорость обучени€: 0.022876792454961013
Ёпоха 227, ошибка: 0.005249822939417895, скорость обучени€: 0.022876792454961013
Ёпоха 228, ошибка: 0.005249722283781914, скорость обучени€: 0.022876792454961013
Ёпоха 229, ошибка: 0.005249663474224389, скорость обучени€: 0.022876792454961013
Ёпоха 230, ошибка: 0.0052496373404976576, скорость обучени€: 0.022876792454961013
Ёпоха 231, ошибка: 0.0052496366763406955, скорость обучени€: 0.022876792454961013
Ёпоха 232, ошибка: 0.005249655819161212, скорость обучени€: 0.022876792454961013
Ёпоха 233, ошибка: 0.005249690319715732, скорость обучени€: 0.022876792454961013
Ёпоха 234, ошибка: 0.0052497366824997855, скорость обучени€: 0.022876792454961013
Ёпоха 235, ошибка: 0.005249792161700478, скорость обучени€: 0.022876792454961013
Ёпоха 236, ошибка: 0.005249854600814036, скорость обучени€: 0.020589113209464913
Ёпоха 237, ошибка: 0.005248119476985813, скорость обучени€: 0.020589113209464913
Ёпоха 238, ошибка: 0.005245228222671325, скорость обучени€: 0.020589113209464913
Ёпоха 239, ошибка: 0.0052429137399390095, скорость обучени€: 0.020589113209464913
Ёпоха 240, ошибка: 0.005241063575762419, скорость обучени€: 0.020589113209464913
Ёпоха 241, ошибка: 0.005239587239524436, скорость обучени€: 0.020589113209464913
Ёпоха 242, ошибка: 0.005238411891511037, скорость обучени€: 0.020589113209464913
Ёпоха 243, ошибка: 0.0052374788856091896, скорость обучени€: 0.020589113209464913
Ёпоха 244, ошибка: 0.005236740994271398, скорость обучени€: 0.020589113209464913
Ёпоха 245, ошибка: 0.005236160179345313, скорость обучени€: 0.020589113209464913
Ёпоха 246, ошибка: 0.005235705800244702, скорость обучени€: 0.020589113209464913
Ёпоха 247, ошибка: 0.005235353172908862, скорость обучени€: 0.020589113209464913
Ёпоха 248, ошибка: 0.005235082410382796, скорость обучени€: 0.020589113209464913
Ёпоха 249, ошибка: 0.005234877489673022, скорость обучени€: 0.020589113209464913
Ёпоха 250, ошибка: 0.005234725500500729, скорость обучени€: 0.020589113209464913
Ёпоха 251, ошибка: 0.005234616040365284, скорость обучени€: 0.020589113209464913
Ёпоха 252, ошибка: 0.005234540727338484, скорость обучени€: 0.020589113209464913
Ёпоха 253, ошибка: 0.005234492807610155, скорость обучени€: 0.020589113209464913
Ёпоха 254, ошибка: 0.005234466839333005, скорость обучени€: 0.020589113209464913
Ёпоха 255, ошибка: 0.005234458437900831, скорость обучени€: 0.020589113209464913
Ёпоха 256, ошибка: 0.005234464070708382, скорость обучени€: 0.020589113209464913
Ёпоха 257, ошибка: 0.005234480891771656, скорость обучени€: 0.020589113209464913
Ёпоха 258, ошибка: 0.005234506608463281, скорость обучени€: 0.020589113209464913
Ёпоха 259, ошибка: 0.005234539374114982, скорость обучени€: 0.020589113209464913
Ёпоха 260, ошибка: 0.005234577701470097, скорость обучени€: 0.01853020188851842
Ёпоха 261, ошибка: 0.005233400382395403, скорость обучени€: 0.01853020188851842
Ёпоха 262, ошибка: 0.005231011716612339, скорость обучени€: 0.01853020188851842
Ёпоха 263, ошибка: 0.005229053252695022, скорость обучени€: 0.01853020188851842
Ёпоха 264, ошибка: 0.005227448989426619, скорость обучени€: 0.01853020188851842
Ёпоха 265, ошибка: 0.005226136376511246, скорость обучени€: 0.01853020188851842
Ёпоха 266, ошибка: 0.005225063921872529, скорость обучени€: 0.01853020188851842
Ёпоха 267, ошибка: 0.005224189228470391, скорость обучени€: 0.01853020188851842
Ёпоха 268, ошибка: 0.005223477382303254, скорость обучени€: 0.01853020188851842
Ёпоха 269, ошибка: 0.005222899627922077, скорость обучени€: 0.01853020188851842
Ёпоха 270, ошибка: 0.005222432279609299, скорость обучени€: 0.01853020188851842
Ёпоха 271, ошибка: 0.005222055825894142, скорость обучени€: 0.01853020188851842
Ёпоха 272, ошибка: 0.005221754192807498, скорость обучени€: 0.01853020188851842
Ёпоха 273, ошибка: 0.00522151413755913, скорость обучени€: 0.01853020188851842
Ёпоха 274, ошибка: 0.0052213247494220846, скорость обучени€: 0.01853020188851842
Ёпоха 275, ошибка: 0.005221177038785855, скорость обучени€: 0.01853020188851842
Ёпоха 276, ошибка: 0.0052210635987457845, скорость обучени€: 0.01853020188851842
Ёпоха 277, ошибка: 0.005220978326384309, скорость обучени€: 0.01853020188851842
Ёпоха 278, ошибка: 0.005220916193193795, скорость обучени€: 0.01853020188851842
Ёпоха 279, ошибка: 0.005220873055953896, скорость обучени€: 0.01853020188851842
Ёпоха 280, ошибка: 0.005220845500923335, скорость обучени€: 0.01853020188851842
Ёпоха 281, ошибка: 0.005220830715473472, скорость обучени€: 0.01853020188851842
Ёпоха 282, ошибка: 0.0052208263823170275, скорость обучени€: 0.01853020188851842
Ёпоха 283, ошибка: 0.005220830592359949, скорость обучени€: 0.01853020188851842
Ёпоха 284, ошибка: 0.0052208417728883665, скорость обучени€: 0.01853020188851842
Ёпоха 285, ошибка: 0.005220858628391879, скорость обучени€: 0.01853020188851842
Ёпоха 286, ошибка: 0.005220880091801107, скорость обучени€: 0.01853020188851842
Ёпоха 287, ошибка: 0.005220905284302693, скорость обучени€: 0.01667718169966658
Ёпоха 288, ошибка: 0.005219842000583192, скорость обучени€: 0.01667718169966658
Ёпоха 289, ошибка: 0.005217865188111514, скорость обучени€: 0.01667718169966658
Ёпоха 290, ошибка: 0.0052162086052126005, скорость обучени€: 0.01667718169966658
Ёпоха 291, ошибка: 0.005214820831611256, скорость обучени€: 0.01667718169966658
Ёпоха 292, ошибка: 0.005213658722784161, скорость обучени€: 0.01667718169966658
Ёпоха 293, ошибка: 0.005212686071255369, скорость обучени€: 0.01667718169966658
Ёпоха 294, ошибка: 0.005211872486430874, скорость обучени€: 0.01667718169966658
Ёпоха 295, ошибка: 0.005211192456722106, скорость обучени€: 0.01667718169966658
Ёпоха 296, ошибка: 0.005210624563883721, скорость обучени€: 0.01667718169966658
Ёпоха 297, ошибка: 0.005210150824567344, скорость обучени€: 0.01667718169966658
Ёпоха 298, ошибка: 0.00520975613829026, скорость обучени€: 0.01667718169966658
Ёпоха 299, ошибка: 0.005209427824473192, скорость обучени€: 0.01667718169966658
Ёпоха 300, ошибка: 0.005209155234075929, скорость обучени€: 0.01667718169966658
Ёпоха 301, ошибка: 0.0052089294237323775, скорость обучени€: 0.01667718169966658
Ёпоха 302, ошибка: 0.00520874288228167, скорость обучени€: 0.01667718169966658
Ёпоха 303, ошибка: 0.005208589301232497, скорость обучени€: 0.01667718169966658
Ёпоха 304, ошибка: 0.005208463382070913, скорость обучени€: 0.01667718169966658
Ёпоха 305, ошибка: 0.005208360674492128, скорость обучени€: 0.01667718169966658
Ёпоха 306, ошибка: 0.005208277440567691, скорость обучени€: 0.01667718169966658
Ёпоха 307, ошибка: 0.00520821054068837, скорость обучени€: 0.01667718169966658
Ёпоха 308, ошибка: 0.005208157337784472, скорость обучени€: 0.01667718169966658
Ёпоха 309, ошибка: 0.005208115616888422, скорость обучени€: 0.01667718169966658
Ёпоха 310, ошибка: 0.005208083517580349, скорость обучени€: 0.01667718169966658
Ёпоха 311, ошибка: 0.005208059477249311, скорость обучени€: 0.01667718169966658
Ёпоха 312, ошибка: 0.005208042183439739, скорость обучени€: 0.01667718169966658
Ёпоха 313, ошибка: 0.0052080305338254645, скорость обучени€: 0.01667718169966658
Ёпоха 314, ошибка: 0.005208023602588232, скорость обучени€: 0.01667718169966658
Ёпоха 315, ошибка: 0.005208020612178266, скорость обучени€: 0.01667718169966658
Ёпоха 316, ошибка: 0.0052080209095935375, скорость обучени€: 0.01667718169966658
Ёпоха 317, ошибка: 0.005208023946454476, скорость обучени€: 0.01667718169966658
Ёпоха 318, ошибка: 0.005208029262266169, скорость обучени€: 0.01667718169966658
Ёпоха 319, ошибка: 0.005208036470358691, скорость обучени€: 0.01667718169966658
Ёпоха 320, ошибка: 0.005208045246077427, скорость обучени€: 0.015009463529699923
Ёпоха 321, ошибка: 0.005206455476292305, скорость обучени€: 0.015009463529699923
Ёпоха 322, ошибка: 0.005204789139619404, скорость обучени€: 0.015009463529699923
Ёпоха 323, ошибка: 0.005203365368028439, скорость обучени€: 0.015009463529699923
Ёпоха 324, ошибка: 0.005202148780204412, скорость обучени€: 0.015009463529699923
Ёпоха 325, ошибка: 0.005201109170443075, скорость обучени€: 0.015009463529699923
