2024-04-22 16:14:33 Размерность обучающей выборки: (8000, 4)
2024-04-22 16:14:33 Размерность тестовой выборки: (2000, 4)
2024-04-22 16:14:34 Количество правил: -  3125
2024-04-22 16:14:34 start gradient descent
2024-04-22 18:56:40 Эпоха 131, ошибка: 0.017807793601242364, скорость обучения: 0.00037571021261363684
2024-04-22 18:58:10 Эпоха 132, ошибка: 0.01780789399650936, скорость обучения: 0.00033813919135227316
2024-04-22 18:59:38 Эпоха 133, ошибка: 0.017807984393330156, скорость обучения: 0.00030432527221704587
2024-04-22 19:01:07 Эпоха 134, ошибка: 0.01780806578373826, скорость обучения: 0.00027389274499534127
2024-04-22 19:02:36 Эпоха 135, ошибка: 0.017808139062049425, скорость обучения: 0.00024650347049580716
2024-04-22 19:04:01 Эпоха 136, ошибка: 0.017808205034350797, скорость обучения: 0.00022185312344622646
2024-04-22 19:05:25 Эпоха 137, ошибка: 0.017808264427095075, скорость обучения: 0.00019966781110160382
2024-04-22 19:06:48 Эпоха 138, ошибка: 0.017808317894878307, скорость обучения: 0.00017970102999144343
2024-04-22 19:08:11 Эпоха 139, ошибка: 0.017808366027475916, скорость обучения: 0.0001617309269922991
2024-04-22 19:09:35 Эпоха 140, ошибка: 0.017808409356202905, скорость обучения: 0.0001455578342930692
2024-04-22 19:10:59 Эпоха 141, ошибка: 0.017808448359661746, скорость обучения: 0.00013100205086376228
2024-04-22 19:12:23 Эпоха 142, ошибка: 0.017808483468934055, скорость обучения: 0.00011790184577738606
2024-04-22 19:13:46 Эпоха 143, ошибка: 0.017808515072267734, скорость обучения: 0.00010611166119964746
2024-04-22 19:15:12 Скорость обучения слишком мала. Прекращение обучения.
2024-04-22 19:15:12 start genetic
2024-04-22 19:16:37 ошибка - 0.011927226712861689
2024-04-22 19:18:00 ошибка - 0.0075920401862017645
2024-04-22 19:19:24 ошибка - 0.01206054909630407
2024-04-22 19:20:48 ошибка - 0.007676690032258802
2024-04-22 19:22:09 ошибка - 0.0060782803199465815
2024-04-22 19:23:27 ошибка - 0.009017938535435928
2024-04-22 19:24:47 ошибка - 0.004219382769906095
2024-04-22 19:26:08 ошибка - 0.00046919103876257387
2024-04-22 19:27:34 ошибка - 0.01537621169928706
2024-04-22 19:28:56 ошибка - 0.009212929882890353
2024-04-22 19:30:14 ошибка - 0.0028129216860097216
2024-04-22 19:31:33 ошибка - 0.002287369018365492
2024-04-22 19:32:50 ошибка - 0.008323081923222222
2024-04-22 19:34:09 ошибка - 0.007560710554485531
2024-04-22 19:35:29 ошибка - 0.0022367005473790556
2024-04-22 19:36:49 ошибка - 0.0008969034724826964
2024-04-22 19:38:05 ошибка - 0.039278226562607245
2024-04-22 19:39:22 ошибка - 0.009926770417416644
2024-04-22 19:40:39 ошибка - 0.023658440357927614
2024-04-22 19:41:58 ошибка - 0.006842853426665423
2024-04-22 19:43:20 ошибка - 0.011242069090367764
2024-04-22 19:44:43 ошибка - 0.002609950678959384
2024-04-22 19:46:07 ошибка - 0.005717292945657463
2024-04-22 19:47:30 ошибка - 0.007559757862856806
2024-04-22 19:48:55 ошибка - 0.018052367259169415
2024-04-22 19:50:08 ошибка - 0.006625846557382345
2024-04-22 19:51:12 ошибка - 0.0034580124026808786
2024-04-22 19:52:13 ошибка - 0.0148594828163873
2024-04-22 19:53:13 ошибка - 0.042844588331256955
2024-04-22 19:54:13 ошибка - 0.0011780796295696432
2024-04-22 19:54:13 Эпоха 1/1000, best fitness score: 0.9589156535780503
2024-04-22 19:55:13 ошибка - 0.011708801508512173
2024-04-22 19:56:12 ошибка - 0.030364444947562484
2024-04-22 19:57:09 ошибка - 0.023658440357927614
2024-04-22 19:58:08 ошибка - 0.008508821401373217
2024-04-22 19:59:06 ошибка - 0.01537621169928706
2024-04-22 20:00:03 ошибка - 0.0007812602809973392
2024-04-22 20:01:01 ошибка - 0.013245350125771741
2024-04-22 20:01:59 ошибка - 0.019586706243094214
2024-04-22 20:02:57 ошибка - 0.041081612143668504
2024-04-22 20:03:56 ошибка - 0.001000561887850536
2024-04-22 20:04:54 ошибка - 0.006747808476877893
2024-04-22 20:05:52 ошибка - 0.009369074810328643
2024-04-22 20:06:50 ошибка - 0.007953730082316377
2024-04-22 20:07:47 ошибка - 0.013297220378600923
2024-04-22 20:08:45 ошибка - 0.026347833861209032
2024-04-22 20:09:43 ошибка - 0.02301264479120092
2024-04-22 20:10:41 ошибка - 0.045137376967429525
2024-04-22 20:11:39 ошибка - 0.008706058449634794
2024-04-22 20:12:37 ошибка - 0.009499361314015665
2024-04-22 20:13:35 ошибка - 0.003046503040352205
2024-04-22 20:14:33 ошибка - 0.006921301380085999
2024-04-22 20:15:31 ошибка - 0.003555834674663139
2024-04-22 20:16:29 ошибка - 0.007140126896794652
2024-04-22 20:17:27 ошибка - 0.0021490563251721994
2024-04-22 20:18:25 ошибка - 0.003954210826485886
2024-04-22 20:19:23 ошибка - 0.008831319897997833
2024-04-22 20:20:21 ошибка - 0.006809903845312057
2024-04-22 20:21:19 ошибка - 0.003888376227832151
2024-04-22 20:22:17 ошибка - 0.023294629429931307
2024-04-22 20:23:15 ошибка - 0.006336465644140687
2024-04-22 20:23:15 Эпоха 2/1000, best fitness score: 0.9568120153750505
2024-04-22 20:24:13 ошибка - 0.045137376967429525
2024-04-22 20:25:12 ошибка - 0.044641762129138014
2024-04-22 20:26:10 ошибка - 0.04018789053784598
2024-04-22 20:27:07 ошибка - 0.02845924584139703
2024-04-22 20:28:06 ошибка - 0.016318617482641053
