Размерность обучающей выборки: (8000, 4)
Размерность тестовой выборки: (2000, 4)
Количество правил: -  243
Mean Squared Error (MSE): 0.052125061630963726
start gradient descent
Эпоха 252, ошибка: 0.00399503248511754, скорость обучения: 0.028242953648100012
Эпоха 253, ошибка: 0.004001198234092444, скорость обучения: 0.025418658283290013
Эпоха 254, ошибка: 0.003971281817930063, скорость обучения: 0.025418658283290013
Эпоха 255, ошибка: 0.00392014219383649, скорость обучения: 0.025418658283290013
Эпоха 256, ошибка: 0.0038989220222039648, скорость обучения: 0.025418658283290013
Эпоха 257, ошибка: 0.003890087423082691, скорость обучения: 0.025418658283290013
Эпоха 258, ошибка: 0.0038864041662275022, скорость обучения: 0.025418658283290013
Эпоха 259, ошибка: 0.0038848676711213887, скорость обучения: 0.025418658283290013
Эпоха 260, ошибка: 0.0038842265553305825, скорость обучения: 0.025418658283290013
Эпоха 261, ошибка: 0.003883959016964754, скорость обучения: 0.025418658283290013
Эпоха 262, ошибка: 0.0038838473681391773, скорость обучения: 0.025418658283290013
Эпоха 263, ошибка: 0.003883800774141715, скорость обучения: 0.025418658283290013
Эпоха 264, ошибка: 0.0038837813290951394, скорость обучения: 0.025418658283290013
Эпоха 265, ошибка: 0.00388377321407929, скорость обучения: 0.025418658283290013
Эпоха 266, ошибка: 0.0038837698274294414, скорость обучения: 0.025418658283290013
Эпоха 267, ошибка: 0.003883768414074368, скорость обучения: 0.025418658283290013
Эпоха 268, ошибка: 0.0038837678242369996, скорость обучения: 0.025418658283290013
Эпоха 269, ошибка: 0.0038837675780783332, скорость обучения: 0.025418658283290013
Эпоха 270, ошибка: 0.003883767475349056, скорость обучения: 0.025418658283290013
Эпоха 271, ошибка: 0.0038837674324761983, скорость обучения: 0.025418658283290013
Эпоха 272, ошибка: 0.003883767414584764, скорость обучения: 0.025418658283290013
Эпоха 273, ошибка: 0.003883767407117881, скорость обучения: 0.025418658283290013
Эпоха 274, ошибка: 0.003883767404001543, скорость обучения: 0.025418658283290013
Эпоха 275, ошибка: 0.003883767402700754, скорость обучения: 0.025418658283290013
Эпоха 276, ошибка: 0.0038837674021579074, скорость обучения: 0.025418658283290013
Эпоха 277, ошибка: 0.003883767401931701, скорость обучения: 0.025418658283290013
Эпоха 278, ошибка: 0.0038837674018374242, скорость обучения: 0.025418658283290013
Эпоха 279, ошибка: 0.0038837674017978153, скорость обучения: 0.025418658283290013
Эпоха 280, ошибка: 0.0038837674017809924, скорость обучения: 0.025418658283290013
Эпоха 281, ошибка: 0.003883767401774157, скорость обучения: 0.025418658283290013
Эпоха 282, ошибка: 0.003883767401771141, скорость обучения: 0.025418658283290013
Эпоха 283, ошибка: 0.0038837674017700996, скорость обучения: 0.025418658283290013
Эпоха 284, ошибка: 0.003883767401769464, скорость обучения: 0.025418658283290013
Эпоха 285, ошибка: 0.0038837674017692227, скорость обучения: 0.025418658283290013
Эпоха 286, ошибка: 0.003883767401769083, скорость обучения: 0.025418658283290013
Эпоха 287, ошибка: 0.003883767401769002, скорость обучения: 0.025418658283290013
Эпоха 288, ошибка: 0.0038837674017689248, скорость обучения: 0.025418658283290013
Эпоха 289, ошибка: 0.003883767401768939, скорость обучения: 0.025418658283290013
Эпоха 290, ошибка: 0.0038837674017690284, скорость обучения: 0.025418658283290013
Эпоха 291, ошибка: 0.0038837674017689113, скорость обучения: 0.025418658283290013
Эпоха 292, ошибка: 0.003883767401768985, скорость обучения: 0.025418658283290013
Эпоха 293, ошибка: 0.003883767401768939, скорость обучения: 0.025418658283290013
Эпоха 294, ошибка: 0.0038837674017690284, скорость обучения: 0.025418658283290013
Эпоха 295, ошибка: 0.0038837674017689113, скорость обучения: 0.025418658283290013
Эпоха 296, ошибка: 0.003883767401768985, скорость обучения: 0.022876792454961013
Эпоха 297, ошибка: 0.0038975240242769666, скорость обучения: 0.020589113209464913
Эпоха 298, ошибка: 0.003883148111958871, скорость обучения: 0.020589113209464913
Эпоха 299, ошибка: 0.003843414079234201, скорость обучения: 0.020589113209464913
Эпоха 300, ошибка: 0.003823525757813879, скорость обучения: 0.020589113209464913
Эпоха 301, ошибка: 0.0038135482508775574, скорость обучения: 0.020589113209464913
Эпоха 302, ошибка: 0.0038085370069703872, скорость обучения: 0.020589113209464913
Эпоха 303, ошибка: 0.0038060186289752655, скорость обучения: 0.020589113209464913
Эпоха 304, ошибка: 0.003804752659867269, скорость обучения: 0.020589113209464913
Эпоха 305, ошибка: 0.003804116173490796, скорость обучения: 0.020589113209464913
Эпоха 306, ошибка: 0.0038037961460543925, скорость обучения: 0.020589113209464913
Эпоха 307, ошибка: 0.0038036352292288014, скорость обучения: 0.020589113209464913
Эпоха 308, ошибка: 0.003803554315201808, скорость обучения: 0.020589113209464913
Эпоха 309, ошибка: 0.003803513628708095, скорость обучения: 0.020589113209464913
Эпоха 310, ошибка: 0.0038034931699738833, скорость обучения: 0.020589113209464913
Эпоха 311, ошибка: 0.0038034828825109657, скорость обучения: 0.020589113209464913
Эпоха 312, ошибка: 0.003803477709560462, скорость обучения: 0.020589113209464913
Эпоха 313, ошибка: 0.003803475108391171, скорость обучения: 0.020589113209464913
Эпоха 314, ошибка: 0.003803473800417176, скорость обучения: 0.020589113209464913
Эпоха 315, ошибка: 0.003803473142714362, скорость обучения: 0.020589113209464913
Эпоха 316, ошибка: 0.0038034728119941477, скорость обучения: 0.020589113209464913
Эпоха 317, ошибка: 0.003803472645694886, скорость обучения: 0.020589113209464913
Эпоха 318, ошибка: 0.003803472562073559, скорость обучения: 0.020589113209464913
Эпоха 319, ошибка: 0.003803472520024471, скорость обучения: 0.020589113209464913
Эпоха 320, ошибка: 0.003803472498880164, скорость обучения: 0.020589113209464913
Эпоха 321, ошибка: 0.0038034724882486945, скорость обучения: 0.020589113209464913
Эпоха 322, ошибка: 0.0038034724829020348, скорость обучения: 0.020589113209464913
Эпоха 323, ошибка: 0.0038034724802139754, скорость обучения: 0.020589113209464913
Эпоха 324, ошибка: 0.0038034724788619375, скорость обучения: 0.020589113209464913
Эпоха 325, ошибка: 0.003803472478181972, скорость обучения: 0.020589113209464913
Эпоха 326, ошибка: 0.003803472477840278, скорость обучения: 0.020589113209464913
Эпоха 327, ошибка: 0.0038034724776684565, скорость обучения: 0.020589113209464913
Эпоха 328, ошибка: 0.0038034724775820546, скорость обучения: 0.020589113209464913
Эпоха 329, ошибка: 0.003803472477538556, скорость обучения: 0.020589113209464913
Эпоха 330, ошибка: 0.003803472477516471, скорость обучения: 0.020589113209464913
Эпоха 331, ошибка: 0.0038034724775055425, скорость обучения: 0.020589113209464913
Эпоха 332, ошибка: 0.00380347247749987, скорость обучения: 0.020589113209464913
Эпоха 333, ошибка: 0.003803472477497008, скорость обучения: 0.020589113209464913
Эпоха 334, ошибка: 0.0038034724774956606, скорость обучения: 0.020589113209464913
Эпоха 335, ошибка: 0.0038034724774952825, скорость обучения: 0.020589113209464913
Эпоха 336, ошибка: 0.0038034724774950535, скорость обучения: 0.020589113209464913
Эпоха 337, ошибка: 0.003803472477494977, скорость обучения: 0.020589113209464913
Эпоха 338, ошибка: 0.003803472477494958, скорость обучения: 0.020589113209464913
Эпоха 339, ошибка: 0.0038034724774949763, скорость обучения: 0.020589113209464913
Эпоха 340, ошибка: 0.0038034724774949433, скорость обучения: 0.020589113209464913
Эпоха 341, ошибка: 0.0038034724774949295, скорость обучения: 0.020589113209464913
